istaigos_kodas;gydytojo_ID;data_nuo;data_iki;iraso_sukurimo_data
300520299;10000003;2026-07-20;2026-07-31;2026-07-13 03:00:16
300520299;10001173;2026-07-20;2026-07-31;2026-07-13 03:00:16
300520299;10001173;2026-08-06;2026-08-12;2026-07-13 03:00:16
300520299;10000007;2026-07-03;2026-08-03;2026-07-13 03:00:16
300520299;10000003;2026-07-20;2026-07-31;2026-07-13 03:00:16
300520299;10000004;2026-07-15;2026-07-15;2026-07-13 03:00:16
300520299;10000004;2026-07-29;2026-08-14;2026-07-13 03:00:16
300520299;10000008;2026-08-03;2026-09-04;2026-07-13 03:00:16
300520299;10000002;2026-07-27;2026-07-31;2026-07-13 03:00:16
300520299;10001208;2026-07-09;2026-07-23;2026-07-13 03:00:16
300520299;10000009;2026-07-17;2026-07-17;2026-07-13 03:00:16
300520299;10000002;2026-08-03;2026-08-05;2026-07-13 03:00:16
