istaigos_kodas;ataskaitinio_laikotarpio_pradzia;ataskaitinio_laikotarpio_pabaiga;gydytojo_id;prisirasiusiu_gyventoju_sk;darbo_valandu_kiekis;iraso_sukurimo_data
300520299;2021-07-01;2021-09-30;10000000;770;312;2021-10-09 03:10:11
300520299;2021-07-01;2021-09-30;10000002;1655;687;2021-10-09 03:10:11
300520299;2021-07-01;2021-09-30;10000003;1495;401;2021-10-09 03:10:11
300520299;2021-07-01;2021-09-30;10000004;1471;354;2021-10-09 03:10:11
300520299;2021-07-01;2021-09-30;10000007;1443;294;2021-10-09 03:10:11
300520299;2021-07-01;2021-09-30;10000008;1481;422;2021-10-09 03:10:11
300520299;2021-07-01;2021-09-30;10000009;1433;423;2021-10-09 03:10:11
300520299;2021-07-01;2021-09-30;10000010;1511;353;2021-10-09 03:10:11
300520299;2021-07-01;2021-09-30;10000013;71;84;2021-10-09 03:10:11
300520299;2021-07-01;2021-09-30;10000079;351;179;2021-10-09 03:10:11
300520299;2021-07-01;2021-09-30;10001173;190;78;2021-10-09 03:10:11
300520299;2021-07-01;2021-09-30;10001174;1322;166;2021-10-09 03:10:11
